,RIC,Date
0,ALVG.DE,19950130
1,AROG.DE^C18,19950130
2,DBCG.DE^G01,19950130
3,BBXG.DE^G08,19950130
4,BASFn.DE,19950130
5,BAYGn.DE,19950130
6,SCHG.DE^I08,19950130
7,BMWG.DE,19950130
8,CBKG.DE,19950130
9,CONG.DE,19950130
10,DAIG.DE^L98,19950130
11,DBKGn.DE,19950130
12,DRSDn.DE^G02,19950130
13,EONGn.DE,19950130
14,DGXG.DE^I06,19950130
15,G1AG.DE,19950130
16,HNKG_p.DE,19950130
17,HOEG.DE^G05,19950130
18,KFHG.IB^G96,19950130
19,LING.DE^D19,19950130
20,LHAG.DE,19950130
21,MANG.DE^I21,19950130
22,RWEG.DE,19950130
23,SIEGn.DE,19950130
24,TKAG.DE,19950130
25,TUI1n.DE,19950130
26,HVMG.DE^I08,19950130
27,BHWG.DE^I98,19950130
28,VIAG.DE^F00,19950130
29,VDFGn.DE^H02,19950130
30,VOWG.DE,19950130
31,ALVG.DE,19950228
32,AROG.DE^C18,19950228
33,DBCG.DE^G01,19950228
34,BBXG.DE^G08,19950228
35,BASFn.DE,19950228
36,BAYGn.DE,19950228
37,SCHG.DE^I08,19950228
38,BMWG.DE,19950228
39,CBKG.DE,19950228
40,CONG.DE,19950228
41,DAIG.DE^L98,19950228
42,DBKGn.DE,19950228
43,DRSDn.DE^G02,19950228
44,EONGn.DE,19950228
45,DGXG.DE^I06,19950228
46,G1AG.DE,19950228
47,HNKG_p.DE,19950228
48,HOEG.DE^G05,19950228
49,KFHG.IB^G96,19950228
50,LING.DE^D19,19950228
51,LHAG.DE,19950228
52,MANG.DE^I21,19950228
53,RWEG.DE,19950228
54,SIEGn.DE,19950228
55,TKAG.DE,19950228
56,TUI1n.DE,19950228
57,HVMG.DE^I08,19950228
58,BHWG.DE^I98,19950228
59,VIAG.DE^F00,19950228
60,VDFGn.DE^H02,19950228
61,VOWG.DE,19950228
62,ALVG.DE,19950330
63,AROG.DE^C18,19950330
64,DBCG.DE^G01,19950330
65,BBXG.DE^G08,19950330
66,BASFn.DE,19950330
67,BAYGn.DE,19950330
68,SCHG.DE^I08,19950330
69,BMWG.DE,19950330
70,CBKG.DE,19950330
71,CONG.DE,19950330
72,DAIG.DE^L98,19950330
73,DBKGn.DE,19950330
74,DRSDn.DE^G02,19950330
75,EONGn.DE,19950330
76,DGXG.DE^I06,19950330
77,G1AG.DE,19950330
78,HNKG_p.DE,19950330
79,HOEG.DE^G05,19950330
80,KFHG.IB^G96,19950330
81,LING.DE^D19,19950330
82,LHAG.DE,19950330
83,MANG.DE^I21,19950330
84,RWEG.DE,19950330
85,SIEGn.DE,19950330
86,TKAG.DE,19950330
87,TUI1n.DE,19950330
88,HVMG.DE^I08,19950330
89,BHWG.DE^I98,19950330
90,VIAG.DE^F00,19950330
91,VDFGn.DE^H02,19950330
92,VOWG.DE,19950330
93,ALVG.DE,19950430
94,AROG.DE^C18,19950430
95,DBCG.DE^G01,19950430
96,BBXG.DE^G08,19950430
97,BASFn.DE,19950430
98,BAYGn.DE,19950430
99,SCHG.DE^I08,19950430
100,BMWG.DE,19950430
101,CBKG.DE,19950430
102,CONG.DE,19950430
103,DAIG.DE^L98,19950430
104,DBKGn.DE,19950430
105,DRSDn.DE^G02,19950430
106,EONGn.DE,19950430
107,DGXG.DE^I06,19950430
108,G1AG.DE,19950430
109,HNKG_p.DE,19950430
110,HOEG.DE^G05,19950430
111,KFHG.IB^G96,19950430
112,LING.DE^D19,19950430
113,LHAG.DE,19950430
114,MANG.DE^I21,19950430
115,RWEG.DE,19950430
116,SIEGn.DE,19950430
117,TKAG.DE,19950430
118,TUI1n.DE,19950430
119,HVMG.DE^I08,19950430
120,BHWG.DE^I98,19950430
121,VIAG.DE^F00,19950430
122,VDFGn.DE^H02,19950430
123,VOWG.DE,19950430
124,ALVG.DE,19950530
125,AROG.DE^C18,19950530
126,DBCG.DE^G01,19950530
127,BBXG.DE^G08,19950530
128,BASFn.DE,19950530
129,BAYGn.DE,19950530
130,SCHG.DE^I08,19950530
131,BMWG.DE,19950530
132,CBKG.DE,19950530
133,CONG.DE,19950530
134,DAIG.DE^L98,19950530
135,DBKGn.DE,19950530
136,DRSDn.DE^G02,19950530
137,EONGn.DE,19950530
138,DGXG.DE^I06,19950530
139,G1AG.DE,19950530
140,HNKG_p.DE,19950530
141,HOEG.DE^G05,19950530
142,KFHG.IB^G96,19950530
143,LING.DE^D19,19950530
144,LHAG.DE,19950530
145,MANG.DE^I21,19950530
146,RWEG.DE,19950530
147,SIEGn.DE,19950530
148,TKAG.DE,19950530
149,TUI1n.DE,19950530
150,HVMG.DE^I08,19950530
151,BHWG.DE^I98,19950530
152,VIAG.DE^F00,19950530
153,VDFGn.DE^H02,19950530
154,VOWG.DE,19950530
155,ALVG.DE,19950630
156,AROG.DE^C18,19950630
157,DBCG.DE^G01,19950630
158,BBXG.DE^G08,19950630
159,BASFn.DE,19950630
160,BAYGn.DE,19950630
161,SCHG.DE^I08,19950630
162,BMWG.DE,19950630
163,CBKG.DE,19950630
164,CONG.DE,19950630
165,DAIG.DE^L98,19950630
166,DBKGn.DE,19950630
167,DRSDn.DE^G02,19950630
168,EONGn.DE,19950630
169,DGXG.DE^I06,19950630
170,G1AG.DE,19950630
171,HNKG_p.DE,19950630
172,HOEG.DE^G05,19950630
173,KFHG.IB^G96,19950630
174,LING.DE^D19,19950630
175,LHAG.DE,19950630
176,MANG.DE^I21,19950630
177,RWEG.DE,19950630
178,SIEGn.DE,19950630
179,TKAG.DE,19950630
180,TUI1n.DE,19950630
181,HVMG.DE^I08,19950630
182,BHWG.DE^I98,19950630
183,VIAG.DE^F00,19950630
184,VDFGn.DE^H02,19950630
185,VOWG.DE,19950630
186,ALVG.DE,19950730
187,AROG.DE^C18,19950730
188,DBCG.DE^G01,19950730
189,BBXG.DE^G08,19950730
190,BASFn.DE,19950730
191,BAYGn.DE,19950730
192,SCHG.DE^I08,19950730
193,BMWG.DE,19950730
194,CBKG.DE,19950730
195,CONG.DE,19950730
196,DAIG.DE^L98,19950730
197,DBKGn.DE,19950730
198,DRSDn.DE^G02,19950730
199,EONGn.DE,19950730
200,DGXG.DE^I06,19950730
201,G1AG.DE,19950730
202,HNKG_p.DE,19950730
203,HOEG.DE^G05,19950730
204,KFHG.IB^G96,19950730
205,LING.DE^D19,19950730
206,LHAG.DE,19950730
207,MANG.DE^I21,19950730
208,RWEG.DE,19950730
209,SIEGn.DE,19950730
210,TKAG.DE,19950730
211,TUI1n.DE,19950730
212,HVMG.DE^I08,19950730
213,BHWG.DE^I98,19950730
214,VIAG.DE^F00,19950730
215,VDFGn.DE^H02,19950730
216,VOWG.DE,19950730
217,ALVG.DE,19950830
218,AROG.DE^C18,19950830
219,DBCG.DE^G01,19950830
220,BBXG.DE^G08,19950830
221,BASFn.DE,19950830
222,BAYGn.DE,19950830
223,SCHG.DE^I08,19950830
224,BMWG.DE,19950830
225,CBKG.DE,19950830
226,CONG.DE,19950830
227,DAIG.DE^L98,19950830
228,DBKGn.DE,19950830
229,DRSDn.DE^G02,19950830
230,EONGn.DE,19950830
231,DGXG.DE^I06,19950830
232,G1AG.DE,19950830
233,HNKG_p.DE,19950830
234,HOEG.DE^G05,19950830
235,KFHG.IB^G96,19950830
236,LING.DE^D19,19950830
237,LHAG.DE,19950830
238,MANG.DE^I21,19950830
239,RWEG.DE,19950830
240,SIEGn.DE,19950830
241,TKAG.DE,19950830
242,TUI1n.DE,19950830
243,HVMG.DE^I08,19950830
244,BHWG.DE^I98,19950830
245,VIAG.DE^F00,19950830
246,VDFGn.DE^H02,19950830
247,VOWG.DE,19950830
248,ALVG.DE,19950930
249,AROG.DE^C18,19950930
250,BASFn.DE,19950930
251,BAYGn.DE,19950930
252,SCHG.DE^I08,19950930
253,BMWG.DE,19950930
254,CBKG.DE,19950930
255,CONG.DE,19950930
256,DAIG.DE^L98,19950930
257,DBKGn.DE,19950930
258,DRSDn.DE^G02,19950930
259,EONGn.DE,19950930
260,DGXG.DE^I06,19950930
261,G1AG.DE,19950930
262,HNKG_p.DE,19950930
263,HOEG.DE^G05,19950930
264,KFHG.IB^G96,19950930
265,LING.DE^D19,19950930
266,LHAG.DE,19950930
267,MANG.DE^I21,19950930
268,RWEG.DE,19950930
269,SAPG_p.DE^F01,19950930
270,SIEGn.DE,19950930
271,TKAG.DE,19950930
272,TUI1n.DE,19950930
273,BHWG.DE^I98,19950930
274,HVMG.DE^I08,19950930
275,VIAG.DE^F00,19950930
276,VDFGn.DE^H02,19950930
277,VOWG.DE,19950930
278,ALVG.DE,19951030
